protein1,protein2,combined_score
9606.ENSP00000199708,9606.ENSP00000494175,950
9606.ENSP00000199708,9606.ENSP00000251595,828
9606.ENSP00000199708,9606.ENSP00000292896,967
9606.ENSP00000199708,9606.ENSP00000327431,847
9606.ENSP00000199708,9606.ENSP00000497236,795
9606.ENSP00000199708,9606.ENSP00000252951,854
9606.ENSP00000199708,9606.ENSP00000349270,909
9606.ENSP00000199708,9606.ENSP00000494708,990
9606.ENSP00000215375,9606.ENSP00000329757,985
9606.ENSP00000215375,9606.ENSP00000315774,980
9606.ENSP00000215375,9606.ENSP00000466010,785
9606.ENSP00000215754,9606.ENSP00000474412,756
9606.ENSP00000216338,9606.ENSP00000264553,710
9606.ENSP00000216338,9606.ENSP00000311300,765
9606.ENSP00000216338,9606.ENSP00000398568,935
9606.ENSP00000216338,9606.ENSP00000474412,869
9606.ENSP00000216338,9606.ENSP00000221978,969
9606.ENSP00000216338,9606.ENSP00000436423,958
9606.ENSP00000221978,9606.ENSP00000216338,969
9606.ENSP00000221978,9606.ENSP00000436423,951
9606.ENSP00000221978,9606.ENSP00000311300,899
9606.ENSP00000221978,9606.ENSP00000474412,890
9606.ENSP00000221978,9606.ENSP00000398568,933
9606.ENSP00000222247,9606.ENSP00000431240,999
9606.ENSP00000222247,9606.ENSP00000452763,999
9606.ENSP00000222247,9606.ENSP00000346037,999
9606.ENSP00000222247,9606.ENSP00000246802,940
9606.ENSP00000222247,9606.ENSP00000472469,999
9606.ENSP00000222247,9606.ENSP00000466010,999
9606.ENSP00000222247,9606.ENSP00000447001,999
9606.ENSP00000222247,9606.ENSP00000307889,999
9606.ENSP00000222247,9606.ENSP00000470972,999
9606.ENSP00000222247,9606.ENSP00000471455,879
9606.ENSP00000246802,9606.ENSP00000222247,940
9606.ENSP00000246802,9606.ENSP00000307889,940
9606.ENSP00000246802,9606.ENSP00000447001,944
9606.ENSP00000251595,9606.ENSP00000199708,828
9606.ENSP00000251595,9606.ENSP00000322421,999
9606.ENSP00000251595,9606.ENSP00000292896,996
9606.ENSP00000251595,9606.ENSP00000494175,999
9606.ENSP00000251595,9606.ENSP00000494708,997
9606.ENSP00000251595,9606.ENSP00000472469,911
9606.ENSP00000251595,9606.ENSP00000466010,906
9606.ENSP00000251595,9606.ENSP00000327431,850
9606.ENSP00000251595,9606.ENSP00000470972,920
9606.ENSP00000252951,9606.ENSP00000199708,854
9606.ENSP00000252951,9606.ENSP00000322421,717
9606.ENSP00000252951,9606.ENSP00000292896,994
9606.ENSP00000252951,9606.ENSP00000494175,997
9606.ENSP00000252951,9606.ENSP00000494708,960
9606.ENSP00000252951,9606.ENSP00000349270,829
9606.ENSP00000252951,9606.ENSP00000327431,978
9606.ENSP00000263368,9606.ENSP00000497236,757
9606.ENSP00000263368,9606.ENSP00000315774,840
9606.ENSP00000264553,9606.ENSP00000216338,710
9606.ENSP00000292896,9606.ENSP00000252951,994
9606.ENSP00000292896,9606.ENSP00000349270,862
9606.ENSP00000292896,9606.ENSP00000327431,907
9606.ENSP00000292896,9606.ENSP00000199708,967
9606.ENSP00000292896,9606.ENSP00000494175,760
9606.ENSP00000292896,9606.ENSP00000251595,996
9606.ENSP00000292896,9606.ENSP00000322421,991
9606.ENSP00000296029,9606.ENSP00000474412,999
9606.ENSP00000296029,9606.ENSP00000303942,715
9606.ENSP00000301281,9606.ENSP00000355689,770
9606.ENSP00000303942,9606.ENSP00000383382,999
9606.ENSP00000303942,9606.ENSP00000296029,715
9606.ENSP00000307889,9606.ENSP00000447001,999
9606.ENSP00000307889,9606.ENSP00000470972,999
9606.ENSP00000307889,9606.ENSP00000471455,867
9606.ENSP00000307889,9606.ENSP00000246802,940
9606.ENSP00000307889,9606.ENSP00000346037,999
9606.ENSP00000307889,9606.ENSP00000472469,999
9606.ENSP00000307889,9606.ENSP00000466010,999
9606.ENSP00000307889,9606.ENSP00000452763,999
9606.ENSP00000307889,9606.ENSP00000222247,999
9606.ENSP00000307889,9606.ENSP00000431240,999
9606.ENSP00000311300,9606.ENSP00000365230,902
9606.ENSP00000311300,9606.ENSP00000216338,765
9606.ENSP00000311300,9606.ENSP00000398568,762
9606.ENSP00000311300,9606.ENSP00000436423,806
9606.ENSP00000311300,9606.ENSP00000221978,899
9606.ENSP00000315774,9606.ENSP00000263368,840
9606.ENSP00000315774,9606.ENSP00000321260,741
9606.ENSP00000315774,9606.ENSP00000215375,980
9606.ENSP00000321260,9606.ENSP00000315774,741
9606.ENSP00000322421,9606.ENSP00000494175,999
9606.ENSP00000322421,9606.ENSP00000251595,999
9606.ENSP00000322421,9606.ENSP00000292896,991
9606.ENSP00000322421,9606.ENSP00000470972,921
9606.ENSP00000322421,9606.ENSP00000327431,959
9606.ENSP00000322421,9606.ENSP00000252951,717
9606.ENSP00000322421,9606.ENSP00000497236,717
9606.ENSP00000322421,9606.ENSP00000466010,906
9606.ENSP00000322421,9606.ENSP00000349270,733
9606.ENSP00000322421,9606.ENSP00000494708,997
9606.ENSP00000322421,9606.ENSP00000472469,912
9606.ENSP00000324124,9606.ENSP00000466010,841
9606.ENSP00000324124,9606.ENSP00000346037,742
9606.ENSP00000324124,9606.ENSP00000447001,728
9606.ENSP00000327431,9606.ENSP00000292896,907
9606.ENSP00000327431,9606.ENSP00000322421,959
9606.ENSP00000327431,9606.ENSP00000251595,850
9606.ENSP00000327431,9606.ENSP00000494175,889
9606.ENSP00000327431,9606.ENSP00000199708,847
9606.ENSP00000327431,9606.ENSP00000349270,928
9606.ENSP00000327431,9606.ENSP00000494708,897
9606.ENSP00000327431,9606.ENSP00000252951,978
9606.ENSP00000327431,9606.ENSP00000497236,798
9606.ENSP00000329757,9606.ENSP00000215375,985
9606.ENSP00000346037,9606.ENSP00000470972,999
9606.ENSP00000346037,9606.ENSP00000447001,999
9606.ENSP00000346037,9606.ENSP00000307889,999
9606.ENSP00000346037,9606.ENSP00000466010,999
9606.ENSP00000346037,9606.ENSP00000472469,999
9606.ENSP00000346037,9606.ENSP00000324124,742
9606.ENSP00000346037,9606.ENSP00000222247,999
9606.ENSP00000346037,9606.ENSP00000452763,999
9606.ENSP00000346037,9606.ENSP00000431240,999
9606.ENSP00000349270,9606.ENSP00000199708,909
9606.ENSP00000349270,9606.ENSP00000494175,932
9606.ENSP00000349270,9606.ENSP00000292896,862
9606.ENSP00000349270,9606.ENSP00000322421,733
9606.ENSP00000349270,9606.ENSP00000497236,852
9606.ENSP00000349270,9606.ENSP00000252951,829
9606.ENSP00000349270,9606.ENSP00000494708,953
9606.ENSP00000349270,9606.ENSP00000327431,928
9606.ENSP00000355689,9606.ENSP00000301281,770
9606.ENSP00000355689,9606.ENSP00000367615,971
9606.ENSP00000365230,9606.ENSP00000471700,935
9606.ENSP00000365230,9606.ENSP00000311300,902
9606.ENSP00000367615,9606.ENSP00000355689,971
9606.ENSP00000383382,9606.ENSP00000303942,999
9606.ENSP00000398568,9606.ENSP00000311300,762
9606.ENSP00000398568,9606.ENSP00000216338,935
9606.ENSP00000398568,9606.ENSP00000474412,805
9606.ENSP00000398568,9606.ENSP00000221978,933
9606.ENSP00000398568,9606.ENSP00000436423,999
9606.ENSP00000431240,9606.ENSP00000447001,999
9606.ENSP00000431240,9606.ENSP00000307889,999
9606.ENSP00000431240,9606.ENSP00000470972,999
9606.ENSP00000431240,9606.ENSP00000346037,999
9606.ENSP00000431240,9606.ENSP00000472469,999
9606.ENSP00000431240,9606.ENSP00000466010,999
9606.ENSP00000431240,9606.ENSP00000452763,999
9606.ENSP00000431240,9606.ENSP00000222247,999
9606.ENSP00000431775,9606.ENSP00000474412,736
9606.ENSP00000436423,9606.ENSP00000216338,958
9606.ENSP00000436423,9606.ENSP00000474412,846
9606.ENSP00000436423,9606.ENSP00000221978,951
9606.ENSP00000436423,9606.ENSP00000398568,999
9606.ENSP00000436423,9606.ENSP00000311300,806
9606.ENSP00000447001,9606.ENSP00000222247,999
9606.ENSP00000447001,9606.ENSP00000452763,999
9606.ENSP00000447001,9606.ENSP00000431240,999
9606.ENSP00000447001,9606.ENSP00000470972,999
9606.ENSP00000447001,9606.ENSP00000471455,860
9606.ENSP00000447001,9606.ENSP00000307889,999
9606.ENSP00000447001,9606.ENSP00000466010,999
9606.ENSP00000447001,9606.ENSP00000346037,999
9606.ENSP00000447001,9606.ENSP00000246802,944
9606.ENSP00000447001,9606.ENSP00000472469,999
9606.ENSP00000447001,9606.ENSP00000324124,728
9606.ENSP00000452763,9606.ENSP00000222247,999
9606.ENSP00000452763,9606.ENSP00000431240,999
9606.ENSP00000452763,9606.ENSP00000470972,999
9606.ENSP00000452763,9606.ENSP00000471455,813
9606.ENSP00000452763,9606.ENSP00000447001,999
9606.ENSP00000452763,9606.ENSP00000307889,999
9606.ENSP00000452763,9606.ENSP00000466010,999
9606.ENSP00000452763,9606.ENSP00000346037,999
9606.ENSP00000452763,9606.ENSP00000472469,999
9606.ENSP00000466010,9606.ENSP00000324124,841
9606.ENSP00000466010,9606.ENSP00000472469,999
9606.ENSP00000466010,9606.ENSP00000346037,999
9606.ENSP00000466010,9606.ENSP00000471455,918
9606.ENSP00000466010,9606.ENSP00000470972,999
9606.ENSP00000466010,9606.ENSP00000307889,999
9606.ENSP00000466010,9606.ENSP00000447001,999
9606.ENSP00000466010,9606.ENSP00000215375,785
9606.ENSP00000466010,9606.ENSP00000431240,999
9606.ENSP00000466010,9606.ENSP00000251595,906
9606.ENSP00000466010,9606.ENSP00000222247,999
9606.ENSP00000466010,9606.ENSP00000322421,906
9606.ENSP00000466010,9606.ENSP00000452763,999
9606.ENSP00000470972,9606.ENSP00000471455,922
9606.ENSP00000470972,9606.ENSP00000307889,999
9606.ENSP00000470972,9606.ENSP00000447001,999
9606.ENSP00000470972,9606.ENSP00000466010,999
9606.ENSP00000470972,9606.ENSP00000346037,999
9606.ENSP00000470972,9606.ENSP00000472469,999
9606.ENSP00000470972,9606.ENSP00000251595,920
9606.ENSP00000470972,9606.ENSP00000222247,999
9606.ENSP00000470972,9606.ENSP00000452763,999
9606.ENSP00000470972,9606.ENSP00000322421,921
9606.ENSP00000470972,9606.ENSP00000431240,999
9606.ENSP00000471455,9606.ENSP00000222247,879
9606.ENSP00000471455,9606.ENSP00000452763,813
9606.ENSP00000471455,9606.ENSP00000466010,918
9606.ENSP00000471455,9606.ENSP00000472469,891
9606.ENSP00000471455,9606.ENSP00000470972,922
9606.ENSP00000471455,9606.ENSP00000447001,860
9606.ENSP00000471455,9606.ENSP00000307889,867
9606.ENSP00000471700,9606.ENSP00000365230,935
9606.ENSP00000472469,9606.ENSP00000431240,999
9606.ENSP00000472469,9606.ENSP00000322421,912
9606.ENSP00000472469,9606.ENSP00000452763,999
9606.ENSP00000472469,9606.ENSP00000251595,911
9606.ENSP00000472469,9606.ENSP00000222247,999
9606.ENSP00000472469,9606.ENSP00000346037,999
9606.ENSP00000472469,9606.ENSP00000466010,999
9606.ENSP00000472469,9606.ENSP00000307889,999
9606.ENSP00000472469,9606.ENSP00000447001,999
9606.ENSP00000472469,9606.ENSP00000471455,891
9606.ENSP00000472469,9606.ENSP00000470972,999
9606.ENSP00000474412,9606.ENSP00000296029,999
9606.ENSP00000474412,9606.ENSP00000215754,756
9606.ENSP00000474412,9606.ENSP00000436423,846
9606.ENSP00000474412,9606.ENSP00000221978,890
9606.ENSP00000474412,9606.ENSP00000398568,805
9606.ENSP00000474412,9606.ENSP00000216338,869
9606.ENSP00000474412,9606.ENSP00000431775,736
9606.ENSP00000494175,9606.ENSP00000251595,999
9606.ENSP00000494175,9606.ENSP00000322421,999
9606.ENSP00000494175,9606.ENSP00000292896,760
9606.ENSP00000494175,9606.ENSP00000199708,950
9606.ENSP00000494175,9606.ENSP00000327431,889
9606.ENSP00000494175,9606.ENSP00000497236,831
9606.ENSP00000494175,9606.ENSP00000252951,997
9606.ENSP00000494175,9606.ENSP00000494708,912
9606.ENSP00000494175,9606.ENSP00000349270,932
9606.ENSP00000494708,9606.ENSP00000252951,960
9606.ENSP00000494708,9606.ENSP00000497236,879
9606.ENSP00000494708,9606.ENSP00000349270,953
9606.ENSP00000494708,9606.ENSP00000327431,897
9606.ENSP00000494708,9606.ENSP00000199708,990
9606.ENSP00000494708,9606.ENSP00000251595,997
9606.ENSP00000494708,9606.ENSP00000494175,912
9606.ENSP00000494708,9606.ENSP00000322421,997
9606.ENSP00000497236,9606.ENSP00000494708,879
9606.ENSP00000497236,9606.ENSP00000349270,852
9606.ENSP00000497236,9606.ENSP00000327431,798
9606.ENSP00000497236,9606.ENSP00000199708,795
9606.ENSP00000497236,9606.ENSP00000322421,717
9606.ENSP00000497236,9606.ENSP00000494175,831
9606.ENSP00000497236,9606.ENSP00000263368,757
