Gene,Difference,Cluster0Mean,Cluster1Mean,AbsDiff,Category
HBA2,86555.77132486386,308801.0344827586,222245.26315789475,86555.77132486386,Hemoglobin / blood
HBA1,85631.6152450091,289377.9310344828,203746.31578947368,85631.6152450091,Hemoglobin / blood
HBB,19576.31578947368,254400.0,234823.68421052632,19576.31578947368,Hemoglobin / blood
HBD,2448.622504537205,22512.01724137931,20063.394736842107,2448.622504537205,Hemoglobin / blood
S100A9,-1473.428312159709,3917.413793103448,5390.8421052631575,1473.428312159709,Immune / inflammatory
COX1,-905.4517241379308,2450.648275862069,3356.1,905.4517241379308,Mitochondrial
ATP6,-799.3774954627947,2045.9172413793103,2845.294736842105,799.3774954627947,Mitochondrial
ND4,-733.1842105263163,1877.65,2610.834210526316,733.1842105263163,Mitochondrial
COX2,-721.158076225046,2582.160344827586,3303.318421052632,721.158076225046,Mitochondrial
ATP8,-710.3668784029044,1238.562068965517,1948.9289473684212,710.3668784029044,Mitochondrial
TMSB4X,-696.7442831215969,1262.5741379310348,1959.318421052632,696.7442831215969,Other
COX3,-610.8487295825776,2283.3775862068965,2894.226315789474,610.8487295825776,Mitochondrial
S100A8,-541.5313974591653,547.4896551724138,1089.021052631579,541.5313974591653,Immune / inflammatory
ND2,-512.9625226860257,1299.6137931034482,1812.576315789474,512.9625226860257,Mitochondrial
ACTB,-508.7862068965519,1640.713793103448,2149.5,508.7862068965519,Other
ND1,-454.1524500907437,1867.639655172414,2321.7921052631577,454.1524500907437,Mitochondrial
HBQ1,425.9126869328492,1356.260344827586,930.3476578947368,425.9126869328492,Hemoglobin / blood
ND3,-402.2098911070784,1124.163793103448,1526.3736842105263,402.2098911070784,Mitochondrial
CYTB,-397.7396551724141,1259.760344827586,1657.5,397.7396551724141,Mitochondrial
ND4L,-376.3602540834844,629.6844827586208,1006.0447368421052,376.3602540834844,Mitochondrial
LYZ,-372.8864882032667,416.23982758620696,789.1263157894737,372.8864882032667,Immune / inflammatory
IFITM2,-353.0365698729579,2320.834482758621,2673.871052631579,353.0365698729579,Immune / inflammatory
ND6,-313.4218693284939,983.4465517241376,1296.8684210526317,313.4218693284939,Mitochondrial
B2M,-306.83379310344816,253.36620689655177,560.1999999999999,306.83379310344816,Immune / inflammatory
HLA-B,-304.37313974591643,2119.468965517241,2423.842105263158,304.37313974591643,Immune / inflammatory
S100A11,-301.8539019963704,1007.0224137931032,1308.8763157894737,301.8539019963704,Other
EEF1A1,-294.95254083484565,416.544827586207,711.4973684210527,294.95254083484565,Other
RPS27,-244.90617059891088,401.201724137931,646.1078947368419,244.90617059891088,Ribosomal
FKBP8,241.1894736842106,1154.55,913.3605263157892,241.1894736842106,Other
RPL30,-232.03348457350285,408.1086206896552,640.142105263158,232.03348457350285,Ribosomal
HLA-C,-228.9363883847548,1639.0741379310346,1868.010526315789,228.9363883847548,Immune / inflammatory
FCGR3B,-219.71621597096183,210.24431034482768,429.9605263157896,219.71621597096183,Other
ND5,-218.6696007259528,458.1672413793103,676.836842105263,218.6696007259528,Mitochondrial
RPL21,-216.5967332123412,238.61379310344827,455.2105263157895,216.5967332123412,Ribosomal
MNDA,-208.03168784029023,164.1262068965518,372.157894736842,208.03168784029023,Other
RPS12,-202.5735934664248,544.3948275862068,746.9684210526316,202.5735934664248,Ribosomal
HLA-E,-200.61560798548064,599.939655172414,800.5552631578946,200.61560798548064,Immune / inflammatory
CSF3R,-189.60753176043545,581.9793103448278,771.5868421052633,189.60753176043545,Other
RPL39,-186.75197822141567,244.79275862068965,431.5447368421053,186.75197822141567,Ribosomal
RPS18,-186.39491833030849,398.4603448275862,584.8552631578947,186.39491833030849,Ribosomal
SELL,-183.8680580762252,221.22931034482764,405.0973684210528,183.8680580762252,Other
TXNIP,-179.41257713248635,181.7268965517241,361.1394736842105,179.41257713248635,Other
FTL,-178.50571687840284,2250.2758620689656,2428.7815789473684,178.50571687840284,Other
IFITM1,-173.0023593466425,751.8344827586208,924.8368421052631,173.0023593466425,Other
LAPTM5,-163.2171778584393,347.2591379310344,510.4763157894736,163.2171778584393,Other
TMSB10,-160.46569872958253,718.294827586207,878.7605263157895,160.46569872958253,Other
ARHGDIB,-159.7114882032667,364.66482758620697,524.3763157894737,159.7114882032667,Other
FTH1,-156.43417422867526,601.1579310344828,757.592105263158,156.43417422867526,Other
HLA-A,-154.79954627949155,1091.4241379310345,1246.223684210526,154.79954627949155,Immune / inflammatory
HLA-DRA,-151.90207803992723,279.8584482758622,431.76052631578943,151.90207803992723,Immune / inflammatory
UBC,-147.29065335753154,447.5172413793104,594.807894736842,147.29065335753154,Other
RPL41,-140.81878402903823,329.3206896551724,470.1394736842106,140.81878402903823,Ribosomal
RPS11,-140.48566243194205,901.5827586206894,1042.0684210526315,140.48566243194205,Ribosomal
LCP1,-138.3317876588022,175.39189655172416,313.7236842105264,138.3317876588022,Other
IFITM3,-138.20215970961902,399.95310344827584,538.1552631578949,138.20215970961902,Immune / inflammatory
FPR1,-133.87636116152453,310.6525862068965,444.528947368421,133.87636116152453,Other
MYL6,-132.4361161524501,269.4086206896551,401.8447368421052,132.4361161524501,Other
PSAP,-127.0504537205083,442.7758620689654,569.8263157894737,127.0504537205083,Other
S100A6,-118.25426497277692,485.6431034482757,603.8973684210526,118.25426497277692,Other
FCER1G,-117.93541742286747,230.49879310344824,348.4342105263157,117.93541742286747,Other
RPL3,-115.94201451905622,470.24482758620695,586.1868421052632,115.94201451905622,Ribosomal
RPS25,-115.61562613430124,149.24568965517244,264.8613157894737,115.61562613430124,Ribosomal
RPL13A,-113.62205081669686,540.3568965517242,653.978947368421,113.62205081669686,Ribosomal
RPS6,-113.3696551724138,176.47534482758624,289.845,113.3696551724138,Ribosomal
RGS2,-107.1574047186932,71.97706896551725,179.13447368421046,107.1574047186932,Other
TAGLN2,-103.24970054446452,459.7529310344827,563.0026315789472,103.24970054446452,Other
RPL12,-99.60399274047188,312.32758620689657,411.9315789473685,99.60399274047188,Ribosomal
RPS4X,-99.1704990925592,201.658448275862,300.82894736842115,99.1704990925592,Ribosomal
RPL11,-99.1354083484573,154.69327586206902,253.82868421052632,99.1354083484573,Ribosomal
RPS13,-97.69969147005436,193.5424137931035,291.24210526315784,97.69969147005436,Ribosomal
S100A4,-94.73747731397464,654.4362068965517,749.1736842105263,94.73747731397464,Other
TYROBP,-94.64428312159748,738.6241379310342,833.2684210526317,94.64428312159748,Other
ACTG1,-91.81383847549904,303.13879310344834,394.9526315789474,91.81383847549904,Other
S100A12,-91.79288566243184,110.11948275862076,201.91236842105255,91.79288566243184,Other
RPL9,-87.81648820326681,99.25482758620689,187.0713157894737,87.81648820326681,Ribosomal
CXCR2,-85.9384573502722,95.35206896551726,181.29052631578944,85.9384573502722,Other
RPS3A,-84.52443738656991,72.69793103448275,157.22236842105266,84.52443738656991,Ribosomal
JAML,-84.44415607985479,155.17689655172416,239.62105263157892,84.44415607985479,Other
GABARAP,-84.09024500907447,267.8439655172413,351.9342105263158,84.09024500907447,Other
H3-3A,-83.51081669691473,138.52655172413796,222.0373684210527,83.51081669691473,Other
NCF2,-83.28198729582572,119.52327586206896,202.80526315789467,83.28198729582572,Other
RPS8,-82.53725952813079,211.5337931034482,294.071052631579,82.53725952813079,Ribosomal
SERPINA1,-82.37854809437391,227.29224137931035,309.67078947368424,82.37854809437391,Other
RPL7A,-82.36705989110703,446.9224137931036,529.2894736842106,82.36705989110703,Ribosomal
VIM,-79.15832123411971,209.0443103448276,288.2026315789473,79.15832123411971,Other
EVI2B,-78.14181488203265,58.17344827586207,136.31526315789472,78.14181488203265,Other
RPSA,-77.6828402903812,282.61189655172404,360.2947368421053,77.6828402903812,Ribosomal
GMFG,-76.62464609800364,147.66482758620688,224.2894736842105,76.62464609800364,Other
RPL23A,-76.47141560798548,302.7706896551724,379.2421052631578,76.47141560798548,Ribosomal
RPL5,-76.2232849364791,81.89724137931037,158.12052631578948,76.2232849364791,Ribosomal
RPL26,-76.1797731397459,66.50206896551724,142.68184210526314,76.1797731397459,Ribosomal
CXCR1,-76.1323411978222,191.4634482758621,267.5957894736843,76.1323411978222,Other
RPLP0,-75.50589836660612,280.8362068965518,356.3421052631579,75.50589836660612,Ribosomal
CTSS,-73.55284936479126,69.73741379310346,143.2902631578947,73.55284936479126,Other
EEF1G,-73.25462794918337,351.3137931034482,424.5684210526316,73.25462794918337,Other
RPL4,-72.36624319419238,128.74086206896555,201.10710526315796,72.36624319419238,Ribosomal
TPT1,-71.80696914700546,77.00224137931035,148.8092105263158,71.80696914700546,Other
HBM,70.73751361161533,194.7667241379311,124.02921052631578,70.73751361161533,Hemoglobin / blood
RPS27A,-70.17617967332124,81.45224137931034,151.62842105263158,70.17617967332124,Ribosomal
RPLP2,67.96814882032675,1082.7655172413797,1014.7973684210529,67.96814882032675,Ribosomal
